Quote,Author
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson
